"state","puma","sex","age","educ","income","latino","black","asian","married","divorced","uscitizen","children","disability","militaryservice","employed","englishability","fips"
13,1102,1,44,13,112000,0,0,0,1,0,1,0,0,0,1,1,13121
13,1104,1,52,4,0,0,1,0,1,0,1,0,1,0,1,1,13121
13,1106,0,36,9,22480,0,1,0,0,0,1,0,1,0,0,1,13121
13,1105,0,22,1,6800,1,0,0,1,0,1,0,0,0,0,1,13121
13,1107,0,77,9,38000,0,1,0,0,0,1,0,0,1,0,1,13121
13,1101,0,45,11,2000,0,0,0,1,0,1,0,0,0,0,1,13121
13,1101,1,51,11,0,0,0,0,1,0,1,0,0,0,0,1,13121
13,1106,0,19,7,0,0,1,0,0,0,1,0,0,0,1,1,13121
13,1105,1,40,9,0,1,0,0,0,0,0,0,0,0,0,0,13121
13,1102,1,37,13,51000,0,0,0,0,1,1,0,0,0,1,1,13121
13,1106,1,34,11,5500,0,1,0,0,0,1,1,0,0,1,1,13121
13,1102,0,53,14,97000,0,0,0,1,0,1,0,0,0,1,1,13121
13,1103,1,31,7,15000,0,1,0,0,0,1,1,1,0,0,1,13121
13,1103,1,32,13,26000,0,0,0,1,0,1,1,0,0,1,1,13121
13,1102,0,47,13,170000,0,0,0,1,0,1,0,0,0,1,1,13121
13,1107,0,47,9,400,0,1,0,0,1,1,0,1,1,0,1,13121
13,1101,1,18,10,7500,0,0,0,0,0,1,0,0,0,1,1,13121
13,1106,1,53,14,12000,0,1,0,0,1,1,0,1,0,0,1,13121
13,1101,0,31,13,42000,0,1,0,0,0,1,0,0,1,1,1,13121
13,1103,0,23,9,30000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1104,1,41,13,37000,0,1,0,0,0,1,0,0,0,1,1,13121
13,1103,0,24,13,18800,0,0,0,0,0,1,0,0,0,1,1,13121
13,1106,0,40,8,6100,0,1,0,0,1,1,0,1,0,0,1,13121
13,1102,1,52,13,180000,0,0,0,1,0,1,1,0,0,1,1,13121
13,1102,0,34,10,15000,0,1,0,0,0,1,0,0,0,0,1,13121
13,1101,0,32,9,30000,1,0,0,0,0,1,0,0,0,1,1,13121
13,1105,1,46,9,35000,0,0,0,1,0,1,1,0,0,1,1,13121
13,1107,1,56,13,50000,0,1,0,1,0,1,0,0,0,1,1,13121
13,1102,1,23,13,9000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1102,0,33,9,0,1,0,0,1,0,0,0,0,0,1,0,13121
13,1101,1,53,12,8000,0,0,0,1,0,1,0,0,0,1,1,13121
13,1106,0,80,4,24800,0,1,0,1,0,1,0,1,1,0,1,13121
13,1107,1,69,9,12000,0,1,0,0,0,1,0,0,1,0,1,13121
13,1104,1,48,9,11000,0,1,0,0,0,1,1,0,0,1,1,13121
13,1106,1,63,1,9000,0,1,0,1,0,1,0,0,0,1,1,13121
13,1104,1,30,12,24000,0,1,0,0,0,1,0,0,0,1,1,13121
13,1102,0,33,13,125100,0,0,0,0,0,0,0,0,0,1,1,13121
13,1105,0,57,9,51200,0,1,0,0,1,1,0,1,0,1,1,13121
13,1105,1,20,10,6500,0,1,0,0,0,1,0,1,0,1,1,13121
13,1101,0,49,14,320000,0,0,0,1,0,1,0,0,1,1,1,13121
13,1106,0,28,11,10000,0,1,0,0,0,1,0,0,0,1,1,13121
13,1102,0,62,14,45000,0,0,0,1,0,1,0,0,0,1,1,13121
13,1101,1,33,15,47800,0,0,0,1,0,1,0,0,0,1,1,13121
13,1102,1,27,13,67200,0,0,1,0,0,1,0,0,0,1,1,13121
13,1105,1,28,13,18000,0,1,0,1,0,1,1,0,0,1,1,13121
13,1105,0,29,9,14000,0,1,0,1,0,1,0,0,1,0,1,13121
13,1103,0,22,11,12000,0,0,0,0,0,1,0,0,0,0,1,13121
13,1102,0,28,13,70000,0,0,0,1,0,1,0,0,0,1,1,13121
13,1104,1,24,11,35000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1105,0,18,9,3000,0,1,0,0,0,1,0,0,0,1,1,13121
13,1102,0,46,16,51200,0,0,0,1,0,1,0,0,0,1,1,13121
13,1103,1,59,11,50,0,0,0,1,0,1,0,1,0,0,1,13121
13,1102,0,52,6,60000,0,0,0,0,1,1,0,1,0,1,1,13121
13,1103,0,49,8,13500,0,0,0,0,0,1,0,1,0,0,1,13121
13,1107,1,24,11,16000,0,1,0,0,0,1,0,0,0,1,1,13121
13,1104,1,53,4,7900,0,1,0,0,1,1,1,1,0,0,1,13121
13,1102,1,73,13,122900,0,0,0,0,0,1,0,0,0,1,1,13121
13,1104,0,47,13,40050,0,0,0,0,1,1,0,0,1,1,1,13121
13,1102,1,67,13,7200,0,0,0,1,0,1,0,0,0,0,1,13121
13,1105,0,52,10,16500,0,1,0,0,1,1,0,0,0,1,1,13121
13,1103,1,23,10,10000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1106,1,23,9,0,0,1,0,0,0,1,0,0,0,0,1,13121
13,1103,1,36,13,33400,0,0,0,0,0,1,0,0,0,1,1,13121
13,1106,1,59,4,4700,0,0,0,0,0,1,0,1,0,0,1,13121
13,1107,0,40,9,11000,0,0,0,1,0,1,0,1,1,0,1,13121
13,1106,1,23,6,4500,0,1,0,0,0,1,1,0,0,0,1,13121
13,1105,1,23,9,4400,0,1,0,0,0,1,0,0,0,1,1,13121
13,1107,1,54,14,57200,0,1,0,0,0,1,0,0,0,1,1,13121
13,1102,0,46,13,80000,0,0,0,1,0,1,0,0,0,1,1,13121
13,1102,0,51,9,11300,0,0,0,1,0,1,0,1,0,0,1,13121
13,1103,0,68,13,48000,0,0,0,1,0,1,0,0,1,0,1,13121
13,1105,0,49,7,19900,0,0,0,1,0,1,0,1,0,1,1,13121
13,1104,0,22,9,20000,0,1,0,0,1,1,0,0,0,1,1,13121
13,1104,0,19,11,4000,0,0,0,1,0,1,0,0,0,0,1,13121
13,1105,1,51,16,69000,0,1,0,0,1,1,0,0,0,1,1,13121
13,1105,1,19,10,0,0,1,0,0,0,1,0,0,0,0,1,13121
13,1103,1,21,11,14000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1103,0,23,6,20000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1106,0,22,8,1100,0,1,0,0,0,1,0,0,0,1,1,13121
13,1102,1,34,13,12000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1104,0,85,9,165400,0,0,0,1,0,1,0,1,1,1,1,13121
13,1107,0,19,6,0,0,1,0,0,0,1,0,0,0,0,1,13121
13,1101,0,29,14,70000,0,0,1,0,0,0,0,0,0,1,1,13121
13,1106,1,51,14,60000,0,1,0,1,0,1,0,0,0,1,1,13121
13,1101,1,39,13,7000,0,0,0,1,0,1,1,0,0,1,1,13121
13,1104,0,29,13,55000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1107,1,27,13,30000,0,1,0,0,0,1,0,0,0,1,1,13121
13,1104,0,30,13,24000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1103,0,40,13,315200,0,0,0,0,0,1,0,0,0,1,1,13121
13,1102,1,30,14,55000,0,1,0,1,0,1,1,0,0,1,1,13121
13,1106,0,46,9,23000,0,1,0,1,0,1,0,0,0,1,1,13121
13,1101,0,44,14,35100,0,0,0,1,0,1,0,1,0,1,1,13121
13,1107,0,43,9,2000,0,1,0,0,0,1,0,0,0,0,1,13121
13,1101,1,36,14,39400,0,0,0,1,0,1,1,0,0,1,1,13121
13,1102,0,18,6,2500,0,0,0,0,0,1,0,1,0,0,1,13121
13,1103,0,35,9,15000,0,1,0,0,0,1,0,1,0,0,1,13121
13,1107,0,18,7,0,0,1,0,0,0,1,0,0,0,0,1,13121
13,1101,1,38,14,0,0,0,0,1,0,1,1,0,0,0,1,13121
13,1102,0,21,9,16000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1102,1,50,13,38800,0,0,0,1,0,1,0,0,0,1,1,13121
